ID,name,description,headCount
a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,SDS/ECE-CE,COE Team,20 
3e274a93-8681-4d89-9362-2a94f4089038,SX/BSV-ES6,SX/BSV-ES6,23 
1a2326ad-9443-4b2a-93fa-b6fb2f4f00b3,SX/BSV-IF3,SX/BSV-IF3,25 
b4ec49cd-6dc5-43e6-a096-7ba34d385e79,BD/XST3,BD/XST3,30 
7249cd09-4328-425c-8308-6adc5f8464cb,BD/SXI4,BD/SXI4,33 
35a81ef9-42a1-4546-ad6e-c8451f701bbf,SDS/PJ-ECE-CE,COE Team,12 
f8c28124-8fa6-464f-b2cd-41c689dfc075,BGSW/HRL-BP,BGSW/HRL-BP,25 
35a81ef9-1a2b-4546-ad6e-c8451f701bbf,SDS/PJ-cse-CE,cd/hrt,70 
f8c28124-1c2d-464f-b2cd-41c689dfc075,BD/SXI4,kl/hgd,12 
775c9d44-d700-405b-b05c-594dd2785ab6,CD/TRY4,HL/BEN,15
a4a7ee55-fc55-46fb-9166-ccff5411f80e,BD/SXI4,BD/SXI4,08
f3f4b4d7-5c6e-4dd5-89d3-158abf8e4a5d,Marketing,Marketing Department,25
bde9a8e1-62a3-4427-bef8-7a0e073f456c,IT/Technology,Technology Division,30
cbe0e1f3-9d78-43b8-a982-8be95b2119f8,Finance,Finance Team,18
a40c8053-0b79-46f6-8f63-04d20890c2e8,Sales,Sales Department,22
e8bc27d3-ae57-40ae-8d7a-d325b8e13fa4,Operations,Operations Division,20
d02cf127-185d-4e25-9a8e-943d7a3926b7,Customer Service,Customer Support,17
f7398b33-8c27-4d14-9fe5-35bdfdf95b4b,Legal,Legal Department,12
ab61e2ea-1386-4c60-bd22-c65f8c8bc5e0,HR/Admin,HR/Admin,27
1edd939a-805d-47ed-a377-52ca636b0ac8,IT/Technology,Technology Division,30
3b85fc31-9207-420d-b678-320da7ee20a9,Research & Development,R&D Team,28
